GPA,Study_Hours,Preferred_Subject,Learning_Style,Career_Aspiration,Interest_Area,Interest_in_Subjects,Recommended_Course,Study_Habits
1.33,29,History,Reading/Writing,Entrepreneur,Arts,Low,Finance,Last-Minute
2.57,11,Science,Kinesthetic,Engineer,Education,Medium,Medicine,Consistent
2.65,39,Business,Kinesthetic,Scientist,Health,High,Data Science,Organized
3.04,10,Science,Reading/Writing,Scientist,Finance,Low,Finance,Organized
1.94,10,Science,Reading/Writing,Scientist,Arts,Medium,Finance,Irregular
2.97,20,Math,Reading/Writing,Entrepreneur,Finance,Medium,Graphic Design,Last-Minute
3.0,40,Art,Kinesthetic,Doctor,Arts,Medium,Data Science,Last-Minute
3.34,31,Math,Reading/Writing,Artist,Technology,Medium,Medicine,Last-Minute
2.86,15,Art,Reading/Writing,Engineer,Health,High,Data Science,Needs Improvement
1.98,24,Math,Kinesthetic,Engineer,Technology,High,Finance,Consistent
2.5,17,Art,Kinesthetic,Artist,Finance,High,Finance,Needs Improvement
1.25,19,Art,Visual,Doctor,Technology,Medium,Data Science,Needs Improvement
2.81,5,History,Reading/Writing,Scientist,Finance,Low,Data Science,Organized
3.42,25,Math,Reading/Writing,Artist,Technology,Medium,Education,Last-Minute
2.99,26,Art,Auditory,Scientist,Arts,High,Graphic Design,Last-Minute
2.98,37,Business,Reading/Writing,Doctor,Finance,Medium,Medicine,Needs Improvement
1.87,17,Business,Visual,Doctor,Arts,Medium,Finance,Irregular
1.77,34,Math,Kinesthetic,Artist,Health,Medium,Graphic Design,Organized
3.56,8,History,Kinesthetic,Entrepreneur,Finance,Medium,Finance,Consistent
2.07,22,Math,Visual,Doctor,Education,Low,Finance,Irregular
3.67,20,Math,Auditory,Engineer,Technology,Medium,Education,Irregular
1.54,18,Business,Reading/Writing,Scientist,Health,Medium,Medicine,Irregular
3.59,10,Science,Reading/Writing,Doctor,Health,Low,Medicine,Irregular
3.14,29,Math,Kinesthetic,Doctor,Technology,High,Finance,Organized
2.45,26,History,Auditory,Engineer,Arts,High,Finance,Last-Minute
1.78,8,Art,Kinesthetic,Doctor,Finance,Low,Education,Irregular
1.65,21,Science,Auditory,Engineer,Finance,Medium,Finance,Needs Improvement
1.61,8,Science,Visual,Engineer,Arts,Low,Medicine,Last-Minute
1.24,23,Business,Visual,Artist,Arts,Medium,Graphic Design,Consistent
3.4,10,Math,Kinesthetic,Entrepreneur,Arts,Medium,Data Science,Consistent
3.14,22,Science,Visual,Engineer,Technology,High,Finance,Irregular
3.97,33,Art,Visual,Engineer,Technology,Low,Data Science,Needs Improvement
3.83,13,Science,Reading/Writing,Artist,Technology,High,Finance,Irregular
1.16,27,History,Auditory,Entrepreneur,Finance,Medium,Data Science,Consistent
3.28,8,Business,Kinesthetic,Engineer,Education,Medium,Graphic Design,Organized
3.71,37,History,Reading/Writing,Artist,Finance,High,Education,Needs Improvement
3.41,28,Math,Auditory,Artist,Education,Low,Medicine,Last-Minute
2.89,5,History,Auditory,Doctor,Health,Medium,Graphic Design,Consistent
3.7,16,Science,Visual,Entrepreneur,Technology,Low,Finance,Irregular
1.56,7,Math,Reading/Writing,Doctor,Arts,High,Graphic Design,Needs Improvement
1.67,35,Business,Kinesthetic,Engineer,Health,High,Finance,Needs Improvement
1.81,28,Art,Visual,Engineer,Finance,High,Medicine,Consistent
2.36,24,Business,Auditory,Scientist,Technology,Medium,Graphic Design,Consistent
3.26,33,Art,Visual,Engineer,Finance,High,Finance,Organized
3.66,7,Science,Reading/Writing,Engineer,Arts,High,Medicine,Last-Minute
2.87,9,Math,Kinesthetic,Entrepreneur,Finance,Medium,Medicine,Consistent
1.89,36,Science,Auditory,Engineer,Finance,Medium,Medicine,Irregular
3.83,39,Math,Kinesthetic,Artist,Finance,Medium,Finance,Organized
3.86,34,Math,Auditory,Entrepreneur,Finance,Medium,Finance,Consistent
1.18,33,History,Reading/Writing,Doctor,Finance,Low,Finance,Last-Minute
2.28,18,Math,Visual,Engineer,Arts,Low,Education,Consistent
1.01,39,Art,Kinesthetic,Engineer,Technology,High,Education,Organized
2.99,36,Art,Reading/Writing,Engineer,Finance,Medium,Medicine,Consistent
1.01,22,Math,Kinesthetic,Entrepreneur,Education,Medium,Education,Last-Minute
2.21,17,Science,Kinesthetic,Entrepreneur,Arts,Medium,Finance,Organized
2.86,10,History,Visual,Artist,Technology,Medium,Education,Consistent
2.29,20,Math,Reading/Writing,Doctor,Technology,High,Education,Irregular
2.87,39,History,Auditory,Doctor,Technology,Low,Education,Irregular
1.5,35,Science,Auditory,Entrepreneur,Health,Medium,Finance,Last-Minute
3.23,37,Math,Kinesthetic,Doctor,Education,High,Finance,Irregular
1.85,31,Art,Auditory,Doctor,Health,High,Data Science,Needs Improvement
3.17,22,Business,Kinesthetic,Engineer,Health,Low,Data Science,Consistent
1.39,22,Science,Kinesthetic,Entrepreneur,Arts,Medium,Medicine,Last-Minute
1.58,9,Art,Kinesthetic,Engineer,Technology,Medium,Finance,Consistent
3.8,7,Art,Auditory,Engineer,Arts,Medium,Finance,Needs Improvement
2.47,11,Math,Visual,Artist,Technology,Medium,Data Science,Last-Minute
1.05,34,Science,Kinesthetic,Entrepreneur,Education,Medium,Data Science,Irregular
1.28,39,Art,Reading/Writing,Engineer,Education,Medium,Finance,Consistent
3.31,37,History,Reading/Writing,Artist,Technology,Medium,Graphic Design,Organized
2.37,11,Art,Reading/Writing,Entrepreneur,Finance,Low,Finance,Organized
3.05,5,Math,Kinesthetic,Artist,Education,Medium,Finance,Consistent
2.21,9,Science,Visual,Scientist,Education,Medium,Finance,Last-Minute
2.13,11,Art,Visual,Scientist,Arts,Low,Finance,Last-Minute
2.07,27,History,Visual,Engineer,Health,High,Finance,Needs Improvement
2.25,30,Math,Reading/Writing,Engineer,Technology,High,Data Science,Needs Improvement
3.4,15,Science,Visual,Doctor,Technology,Low,Finance,Consistent
3.92,38,History,Reading/Writing,Scientist,Arts,Medium,Data Science,Consistent
1.32,15,Math,Kinesthetic,Engineer,Health,Medium,Finance,Needs Improvement
1.3,24,History,Visual,Artist,Finance,High,Education,Irregular
3.49,27,Math,Reading/Writing,Entrepreneur,Education,Medium,Education,Irregular
2.08,14,History,Kinesthetic,Entrepreneur,Education,High,Education,Irregular
3.21,29,Math,Reading/Writing,Engineer,Health,Low,Education,Last-Minute
2.82,12,History,Auditory,Scientist,Arts,Low,Data Science,Consistent
1.42,27,Art,Visual,Entrepreneur,Arts,High,Education,Organized
1.32,22,Science,Reading/Writing,Doctor,Education,High,Medicine,Consistent
2.47,11,Business,Auditory,Doctor,Finance,High,Data Science,Needs Improvement
2.01,9,Science,Kinesthetic,Entrepreneur,Education,High,Finance,Consistent
1.15,29,Business,Auditory,Scientist,Arts,Low,Education,Organized
3.01,29,Business,Reading/Writing,Entrepreneur,Education,Low,Graphic Design,Consistent
3.58,24,Business,Kinesthetic,Doctor,Finance,Low,Data Science,Last-Minute
2.06,10,Science,Auditory,Doctor,Health,High,Finance,Consistent
1.13,9,History,Kinesthetic,Entrepreneur,Education,Low,Graphic Design,Needs Improvement
1.6,23,History,Kinesthetic,Engineer,Arts,High,Graphic Design,Consistent
1.14,5,Business,Auditory,Engineer,Technology,High,Data Science,Needs Improvement
2.79,7,History,Visual,Scientist,Technology,Medium,Medicine,Needs Improvement
1.16,24,Math,Kinesthetic,Doctor,Finance,Medium,Data Science,Irregular
2.82,11,Math,Reading/Writing,Engineer,Technology,High,Data Science,Consistent
3.97,17,Science,Auditory,Engineer,Technology,Medium,Medicine,Organized
1.53,7,Art,Auditory,Engineer,Education,Low,Graphic Design,Irregular
1.21,23,History,Reading/Writing,Scientist,Finance,Low,Graphic Design,Irregular
3.13,16,History,Auditory,Artist,Finance,High,Finance,Irregular
1.47,7,Science,Auditory,Engineer,Arts,Low,Data Science,Irregular
1.87,17,Business,Kinesthetic,Doctor,Technology,High,Finance,Consistent
2.73,24,Science,Reading/Writing,Artist,Education,Medium,Medicine,Needs Improvement
1.28,25,Business,Visual,Artist,Finance,High,Data Science,Last-Minute
3.88,35,History,Visual,Scientist,Finance,Low,Data Science,Needs Improvement
3.11,21,History,Kinesthetic,Entrepreneur,Finance,Low,Data Science,Needs Improvement
2.15,37,Science,Visual,Doctor,Education,High,Finance,Organized
1.08,34,Math,Reading/Writing,Artist,Technology,High,Finance,Last-Minute
3.04,26,Art,Auditory,Scientist,Finance,Medium,Education,Needs Improvement
3.8,23,Science,Reading/Writing,Entrepreneur,Technology,High,Finance,Irregular
2.03,26,History,Auditory,Scientist,Education,High,Data Science,Needs Improvement
1.79,24,Business,Auditory,Doctor,Finance,Medium,Education,Consistent
1.36,27,Science,Auditory,Artist,Finance,High,Medicine,Needs Improvement
1.54,35,Business,Reading/Writing,Entrepreneur,Arts,Medium,Data Science,Consistent
1.44,30,Business,Visual,Artist,Technology,High,Data Science,Irregular
1.36,7,Math,Visual,Entrepreneur,Arts,Medium,Finance,Irregular
1.83,5,Business,Kinesthetic,Artist,Health,High,Medicine,Organized
1.45,35,Art,Kinesthetic,Scientist,Education,Medium,Finance,Irregular
2.27,24,Business,Reading/Writing,Artist,Arts,Low,Graphic Design,Organized
3.39,26,History,Auditory,Artist,Health,Low,Graphic Design,Consistent
1.15,14,Science,Visual,Doctor,Finance,Low,Finance,Needs Improvement
1.87,22,Math,Auditory,Engineer,Technology,High,Graphic Design,Consistent
2.01,33,Science,Visual,Artist,Health,High,Finance,Organized
3.74,24,Science,Kinesthetic,Engineer,Arts,High,Data Science,Last-Minute
2.5,36,Business,Visual,Scientist,Education,High,Data Science,Organized
1.79,30,Art,Kinesthetic,Artist,Finance,High,Data Science,Last-Minute
2.97,14,Math,Kinesthetic,Artist,Arts,High,Education,Needs Improvement
2.99,38,Business,Auditory,Doctor,Technology,High,Education,Last-Minute
3.24,26,Business,Visual,Scientist,Finance,High,Data Science,Needs Improvement
1.47,33,Science,Reading/Writing,Entrepreneur,Education,High,Data Science,Last-Minute
3.19,5,Math,Visual,Engineer,Health,High,Education,Last-Minute
3.25,14,Art,Reading/Writing,Engineer,Health,Medium,Graphic Design,Irregular
1.48,20,History,Reading/Writing,Doctor,Health,Low,Data Science,Consistent
2.12,37,History,Auditory,Engineer,Education,Medium,Graphic Design,Consistent
3.08,7,Art,Kinesthetic,Engineer,Technology,Low,Data Science,Consistent
3.73,10,Art,Reading/Writing,Engineer,Education,Medium,Education,Last-Minute
2.44,22,Business,Visual,Artist,Health,Low,Education,Last-Minute
1.62,17,History,Reading/Writing,Doctor,Technology,High,Data Science,Last-Minute
3.2,16,Business,Kinesthetic,Entrepreneur,Arts,Medium,Finance,Needs Improvement
3.05,16,Art,Kinesthetic,Artist,Technology,Low,Finance,Irregular
3.15,36,History,Kinesthetic,Artist,Technology,Low,Graphic Design,Needs Improvement
2.79,26,History,Reading/Writing,Artist,Finance,Low,Medicine,Irregular
3.25,8,History,Kinesthetic,Engineer,Finance,Medium,Graphic Design,Organized
3.47,34,Science,Reading/Writing,Artist,Health,Low,Education,Last-Minute
2.29,19,Art,Visual,Engineer,Technology,Medium,Finance,Last-Minute
2.1,34,Business,Reading/Writing,Scientist,Technology,Low,Data Science,Irregular
2.86,5,Science,Reading/Writing,Scientist,Health,Low,Finance,Needs Improvement
2.33,9,History,Reading/Writing,Doctor,Finance,High,Graphic Design,Irregular
3.38,39,History,Auditory,Engineer,Technology,Low,Finance,Needs Improvement
3.03,16,Science,Auditory,Artist,Arts,High,Medicine,Organized
3.68,19,History,Visual,Scientist,Education,Low,Medicine,Last-Minute
3.93,39,Art,Auditory,Scientist,Finance,Low,Education,Consistent
1.82,36,History,Visual,Scientist,Finance,Medium,Data Science,Consistent
2.84,19,Math,Auditory,Scientist,Finance,Medium,Data Science,Last-Minute
2.86,33,Science,Auditory,Doctor,Arts,Low,Graphic Design,Consistent
3.35,32,Art,Reading/Writing,Entrepreneur,Arts,Low,Education,Consistent
1.9,29,Business,Visual,Entrepreneur,Arts,High,Graphic Design,Organized
1.96,12,Business,Kinesthetic,Entrepreneur,Finance,Medium,Medicine,Consistent
3.07,27,Math,Kinesthetic,Scientist,Arts,Medium,Graphic Design,Last-Minute
1.96,39,Business,Reading/Writing,Artist,Education,High,Graphic Design,Last-Minute
3.77,5,Math,Kinesthetic,Engineer,Health,High,Medicine,Last-Minute
3.32,11,Science,Visual,Artist,Technology,High,Data Science,Needs Improvement
1.97,40,History,Kinesthetic,Artist,Education,Medium,Education,Last-Minute
1.18,27,Art,Kinesthetic,Doctor,Finance,Medium,Data Science,Consistent
1.9,11,Math,Auditory,Entrepreneur,Technology,Low,Finance,Consistent
3.75,29,Business,Reading/Writing,Scientist,Arts,High,Data Science,Last-Minute
2.22,36,History,Reading/Writing,Artist,Finance,Low,Education,Needs Improvement
1.9,36,Art,Auditory,Scientist,Finance,High,Data Science,Consistent
2.8,15,Business,Reading/Writing,Engineer,Technology,Low,Graphic Design,Irregular
2.98,23,Science,Auditory,Doctor,Technology,High,Data Science,Needs Improvement
3.33,17,Art,Auditory,Engineer,Arts,Low,Data Science,Consistent
1.32,13,Art,Kinesthetic,Scientist,Education,Medium,Medicine,Last-Minute
1.42,36,Science,Reading/Writing,Entrepreneur,Health,High,Education,Last-Minute
2.65,24,Business,Kinesthetic,Doctor,Health,Low,Data Science,Consistent
1.03,32,History,Kinesthetic,Artist,Arts,Low,Graphic Design,Irregular
2.63,11,Art,Auditory,Engineer,Education,High,Data Science,Organized
2.1,14,History,Reading/Writing,Engineer,Finance,Medium,Medicine,Irregular
1.51,20,Science,Reading/Writing,Artist,Arts,Low,Graphic Design,Organized
1.91,29,Business,Auditory,Engineer,Education,High,Data Science,Irregular
1.41,18,Art,Auditory,Engineer,Technology,High,Medicine,Irregular
3.85,13,Art,Visual,Doctor,Finance,Low,Finance,Consistent
2.35,11,Science,Kinesthetic,Entrepreneur,Arts,High,Graphic Design,Needs Improvement
1.62,14,History,Kinesthetic,Doctor,Health,Low,Medicine,Organized
3.22,8,Math,Kinesthetic,Doctor,Finance,High,Education,Organized
2.72,35,Business,Visual,Doctor,Technology,High,Graphic Design,Organized
1.41,27,Math,Visual,Doctor,Health,High,Medicine,Organized
1.82,14,Science,Kinesthetic,Scientist,Arts,High,Graphic Design,Consistent
1.02,40,Art,Auditory,Doctor,Finance,Medium,Graphic Design,Consistent
3.22,20,Math,Auditory,Engineer,Education,Low,Data Science,Organized
3.88,27,Business,Auditory,Entrepreneur,Technology,High,Data Science,Last-Minute
3.63,17,Business,Visual,Engineer,Finance,Medium,Graphic Design,Needs Improvement
1.49,38,Math,Auditory,Scientist,Finance,High,Education,Irregular
1.94,35,Business,Visual,Scientist,Health,High,Finance,Organized
2.98,5,Math,Kinesthetic,Doctor,Education,High,Graphic Design,Needs Improvement
3.91,23,Science,Kinesthetic,Doctor,Technology,Medium,Education,Last-Minute
1.29,40,Math,Kinesthetic,Scientist,Health,High,Education,Organized
3.05,21,History,Visual,Artist,Education,High,Medicine,Irregular
1.29,30,Art,Visual,Entrepreneur,Technology,Medium,Finance,Consistent
3.44,26,Business,Visual,Engineer,Arts,High,Graphic Design,Last-Minute
2.79,13,Math,Auditory,Doctor,Finance,Medium,Medicine,Organized
1.28,17,Art,Kinesthetic,Scientist,Technology,Low,Finance,Irregular
3.91,7,Science,Auditory,Artist,Arts,Low,Graphic Design,Consistent
2.91,23,History,Reading/Writing,Doctor,Education,Medium,Medicine,Consistent
2.95,22,Math,Visual,Doctor,Health,Medium,Data Science,Organized
1.86,18,Business,Visual,Entrepreneur,Education,High,Medicine,Consistent
2.21,9,History,Kinesthetic,Entrepreneur,Finance,High,Medicine,Last-Minute
2.9,38,Science,Kinesthetic,Artist,Education,Medium,Medicine,Needs Improvement
2.39,17,Math,Kinesthetic,Doctor,Health,Medium,Finance,Consistent
2.49,16,Art,Visual,Engineer,Finance,Medium,Data Science,Consistent
1.77,6,History,Reading/Writing,Doctor,Technology,Medium,Finance,Irregular
1.96,37,Art,Auditory,Scientist,Finance,High,Data Science,Irregular
2.26,13,Math,Reading/Writing,Doctor,Education,Low,Graphic Design,Last-Minute
1.87,37,Art,Kinesthetic,Engineer,Health,Low,Graphic Design,Organized
3.21,30,Business,Reading/Writing,Engineer,Education,High,Graphic Design,Last-Minute
2.18,39,Science,Visual,Artist,Health,High,Graphic Design,Irregular
3.05,31,Math,Visual,Engineer,Finance,Medium,Education,Consistent
3.29,11,Science,Reading/Writing,Entrepreneur,Education,Low,Graphic Design,Needs Improvement
3.31,31,Business,Auditory,Artist,Education,Low,Finance,Irregular
2.47,12,Art,Auditory,Doctor,Health,High,Data Science,Last-Minute
1.24,23,History,Reading/Writing,Entrepreneur,Finance,Low,Data Science,Last-Minute
2.53,20,History,Reading/Writing,Artist,Education,Medium,Graphic Design,Needs Improvement
2.02,35,Art,Kinesthetic,Doctor,Health,Medium,Medicine,Consistent
1.43,10,Science,Auditory,Engineer,Finance,Medium,Finance,Last-Minute
1.31,12,Math,Reading/Writing,Entrepreneur,Technology,High,Graphic Design,Last-Minute
3.8,5,Science,Visual,Artist,Health,Medium,Finance,Organized
1.78,39,History,Visual,Engineer,Finance,Medium,Medicine,Organized
1.95,31,History,Reading/Writing,Engineer,Health,Low,Medicine,Last-Minute
3.45,7,Math,Kinesthetic,Entrepreneur,Technology,High,Data Science,Needs Improvement
3.01,20,History,Visual,Entrepreneur,Arts,High,Data Science,Organized
2.03,19,Science,Auditory,Artist,Arts,Medium,Data Science,Last-Minute
3.12,25,Math,Kinesthetic,Scientist,Finance,High,Data Science,Needs Improvement
1.73,22,Math,Reading/Writing,Artist,Education,High,Medicine,Organized
3.32,37,Art,Reading/Writing,Scientist,Education,Low,Graphic Design,Irregular
1.68,31,Science,Reading/Writing,Artist,Finance,High,Medicine,Consistent
2.09,37,Art,Kinesthetic,Doctor,Arts,Medium,Data Science,Needs Improvement
2.66,32,Math,Kinesthetic,Entrepreneur,Technology,Low,Medicine,Needs Improvement
1.51,20,Math,Auditory,Entrepreneur,Arts,High,Graphic Design,Consistent
1.68,22,History,Visual,Doctor,Finance,Low,Graphic Design,Last-Minute
3.04,16,Science,Auditory,Doctor,Education,High,Finance,Organized
1.09,31,Art,Kinesthetic,Scientist,Education,High,Data Science,Last-Minute
1.74,37,Science,Auditory,Scientist,Arts,Low,Graphic Design,Consistent
2.07,33,Business,Reading/Writing,Doctor,Education,High,Education,Irregular
3.42,17,History,Kinesthetic,Entrepreneur,Technology,High,Education,Irregular
3.05,23,History,Reading/Writing,Doctor,Education,Medium,Finance,Needs Improvement
2.0,6,Math,Kinesthetic,Artist,Health,Low,Finance,Organized
2.99,9,Science,Reading/Writing,Scientist,Education,Low,Graphic Design,Consistent
1.41,8,History,Visual,Entrepreneur,Health,High,Graphic Design,Consistent
3.41,7,Math,Auditory,Engineer,Health,Medium,Education,Last-Minute
2.07,34,Art,Visual,Scientist,Education,High,Graphic Design,Last-Minute
3.8,27,History,Kinesthetic,Engineer,Health,Low,Graphic Design,Organized
2.79,28,Science,Visual,Scientist,Education,High,Data Science,Needs Improvement
3.65,24,Business,Visual,Entrepreneur,Health,Low,Education,Consistent
3.87,39,Science,Visual,Entrepreneur,Finance,Low,Data Science,Last-Minute
1.02,37,Business,Visual,Scientist,Education,Low,Education,Irregular
3.8,14,Art,Reading/Writing,Artist,Technology,High,Data Science,Last-Minute
2.67,14,Business,Kinesthetic,Scientist,Finance,Low,Data Science,Needs Improvement
3.13,29,Art,Auditory,Artist,Education,Low,Medicine,Last-Minute
3.77,34,Math,Kinesthetic,Scientist,Finance,High,Finance,Consistent
1.58,10,Math,Reading/Writing,Artist,Finance,Low,Graphic Design,Consistent
1.12,18,Math,Reading/Writing,Scientist,Arts,High,Graphic Design,Organized
2.25,7,Math,Auditory,Scientist,Health,Medium,Finance,Irregular
3.32,19,Math,Visual,Entrepreneur,Technology,High,Graphic Design,Organized
2.53,23,Business,Visual,Doctor,Health,Low,Medicine,Consistent
